,abb,median_days_open,month_id,state
1,AL,6,2008_1,Alabama
0,AK,13,2008_1,Alaska
3,AZ,11,2008_1,Arizona
2,AR,24,2008_1,Arkansas
4,CA,9,2008_1,California
5,CO,14,2008_1,Colorado
6,CT,4,2008_1,Connecticut
8,DE,9,2008_1,Delaware
7,DC,6,2008_1,District of Columbia
9,FL,3,2008_1,Florida
10,GA,6,2008_1,Georgia
11,HI,2,2008_1,Hawaii
13,ID,25,2008_1,Idaho
14,IL,4,2008_1,Illinois
15,IN,20,2008_1,Indiana
12,IA,19,2008_1,Iowa
16,KS,8,2008_1,Kansas
17,KY,8,2008_1,Kentucky
18,LA,6,2008_1,Louisiana
21,ME,0,2008_1,Maine
20,MD,15,2008_1,Maryland
19,MA,14,2008_1,Massachusetts
22,MI,8,2008_1,Michigan
23,MN,4,2008_1,Minnesota
25,MS,14,2008_1,Mississippi
24,MO,3,2008_1,Missouri
26,MT,24,2008_1,Montana
29,NE,5,2008_1,Nebraska
33,NV,21,2008_1,Nevada
30,NH,9,2008_1,New Hampshire
31,NJ,16,2008_1,New Jersey
32,NM,6,2008_1,New Mexico
34,NY,5,2008_1,New York
27,NC,11,2008_1,North Carolina
28,ND,8,2008_1,North Dakota
35,OH,10,2008_1,Ohio
36,OK,14,2008_1,Oklahoma
37,OR,19,2008_1,Oregon
38,PA,14,2008_1,Pennsylvania
39,RI,16,2008_1,Rhode Island
40,SC,12,2008_1,South Carolina
41,SD,11,2008_1,South Dakota
42,TN,14,2008_1,Tennessee
43,TX,9,2008_1,Texas
44,UT,6,2008_1,Utah
46,VT,23,2008_1,Vermont
45,VA,3,2008_1,Virginia
47,WA,19,2008_1,Washington
49,WV,0,2008_1,West Virginia
48,WI,2,2008_1,Wisconsin
50,WY,22,2008_1,Wyoming
458,AL,0,2008_10,Alabama
457,AK,8,2008_10,Alaska
460,AZ,2,2008_10,Arizona
459,AR,0,2008_10,Arkansas
461,CA,0,2008_10,California
462,CO,13,2008_10,Colorado
463,CT,0,2008_10,Connecticut
465,DE,26,2008_10,Delaware
464,DC,0,2008_10,District of Columbia
466,FL,0,2008_10,Florida
467,GA,0,2008_10,Georgia
468,HI,0,2008_10,Hawaii
470,ID,13,2008_10,Idaho
471,IL,0,2008_10,Illinois
472,IN,9,2008_10,Indiana
469,IA,0,2008_10,Iowa
473,KS,0,2008_10,Kansas
474,KY,4,2008_10,Kentucky
475,LA,12,2008_10,Louisiana
478,ME,0,2008_10,Maine
477,MD,0,2008_10,Maryland
476,MA,0,2008_10,Massachusetts
479,MI,0,2008_10,Michigan
480,MN,6,2008_10,Minnesota
482,MS,0,2008_10,Mississippi
481,MO,6,2008_10,Missouri
483,MT,0,2008_10,Montana
486,NE,0,2008_10,Nebraska
490,NV,27,2008_10,Nevada
487,NH,0,2008_10,New Hampshire
488,NJ,0,2008_10,New Jersey
